Plant_Name,English name,Finnish name,Section,hankitaID,taksoni_nro,Status,Notes,Check,,,,
Acer tataricum subsp. semenowii,,,"R-O 	ARBORETUM",25714,466,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer tataricum subsp. tataricum,,Tataarivaahtera,"R-O 	ARBORETUM",2414,467,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer tataricum subsp. tataricum,,Tataarivaahtera,"S-O 	SYSTEMAATTINEN OSASTO",2414,467,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Achillea alpina,,,"T-5.3 	PURONRANNAT",43552,478,OSASTOLLA,,"T-5.3 	PURONRANNAT",,,,
Achillea atrata,,,"T-4.5.2 	KALKKIALUSTA",15016,480,OSASTOLLA,,"T-4.5.2 	KALKKIALUSTA",,,,
Achillea clavennae,,,"T-4.2.1 	SESLERIO SEMPERVIRETUM",51550,482,OSASTOLLA,,"T-4.2.1 	SESLERIO SEMPERVIRETUM",,,,
Achillea erba-rotta subsp.moschata,,,"T-4.1.1 	CARICETUM CURVULAE",22456,483,OSASTOLLA,,"T-4.1.1 	CARICETUM CURVULAE",,,,
Achillea erba-rotta subsp.moschata,,,"T-4.1.1 	CARICETUM CURVULAE",54489,483,OSASTOLLA,,"T-4.1.1 	CARICETUM CURVULAE",,,,
Achillea erba-rotta subsp.moschata,,,"X-TA 	TAIMISTO",54703,483,OSASTOLLA,,"X-TA 	TAIMISTO",,,,
Achillea erba-rotta subsp.moschata,,,"X-TA 	TAIMISTO",54967,483,OSASTOLLA,,"X-TA 	TAIMISTO",,,,
Achillea filipendulina 'Parker's Variety',,,"S-O 	SYSTEMAATTINEN OSASTO",54775,477,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Achillea macrophylla,,,"T-4.10 	REUNA A",44107,488,OSASTOLLA,,"T-4.10 	REUNA A",,,,
Achillea macrophylla,,,"T-4.2.1 	SESLERIO SEMPERVIRETUM",55489,488,OSASTOLLA,,"T-4.2.1 	SESLERIO SEMPERVIRETUM",,,,
Achillea macrophylla,,,"T-4.2.1 	SESLERIO SEMPERVIRETUM",54863,488,OSASTOLLA,,"T-4.2.1 	SESLERIO SEMPERVIRETUM",,,,
Achillea macrophylla,,,"X-TA 	TAIMISTO",54863,488,OSASTOLLA,,"X-TA 	TAIMISTO",,,,
Achillea millefolium,,,"H-4 	MAUSTEKASVIT",95,489,OSASTOLLA,,"H-4 	MAUSTEKASVIT",,,,
Achillea millefolium,,,"K-17-1 	RINNEKEDOT",26004,489,OSASTOLLA,,"K-17-1 	RINNEKEDOT",,,,
Achillea millefolium,,,"K-17-2 	AHOT",93,489,OSASTOLLA,,"K-17-2 	AHOT",,,,
Achillea millefolium,,,"K-17-3 	MUUT KUIVAT NIITYT",23158,489,OSASTOLLA,,"K-17-3 	MUUT KUIVAT NIITYT",,,,
Achillea millefolium,,,"K-17-3 	MUUT KUIVAT NIITYT",37548,489,OSASTOLLA,,"K-17-3 	MUUT KUIVAT NIITYT",,,,
Achillea millefolium,,,"K-23-2 	RANTAHIETIKKO (DYYNI)",55597,489,OSASTOLLA,,"K-23-2 	RANTAHIETIKKO (DYYNI)",,,,
Achillea millefolium,,,"L-O 	LÃ„Ã„KEKASVI OSASTO",32405,489,OSASTOLLA,,"L-O 	LÃ„Ã„KEKASVI OSASTO",,,,
Achillea millefolium millefolium subsp. alpestris,,,"K-24-7 	TIE- JA RATAVIERIKASVEJA",31869,493,OSASTOLLA,,"K-24-7 	TIE- JA RATAVIERIKASVEJA",,,,
Achillea nana,,,"T-4.4.2 	KORKEARUOHOISET VIHERLEPPÃ„PENSASTOT",51544,494,OSASTOLLA,,"T-4.4.2 	KORKEARUOHOISET VIHERLEPPÃ„PENSASTOT",,,,
Achillea nana,,,"T-4.5.1 	SILIKAATTIALUSTA",48316,494,OSASTOLLA,,"T-4.5.1 	SILIKAATTIALUSTA",,,,
Achillea ptarmica,,,"K-18 	TUOREET NIITYT",41505,497,OSASTOLLA,,"K-18 	TUOREET NIITYT",,,,
Achillea ptarmica,,,"K-18 	TUOREET NIITYT",41505,497,OSASTOLLA,,"K-18 	TUOREET NIITYT",,,,
Achillea ptarmica,,,"K-18 	TUOREET NIITYT",46910,497,OSASTOLLA,lappu,"K-18 	TUOREET NIITYT",,,,
Achillea ptarmica,,,"S-O 	SYSTEMAATTINEN OSASTO",6968,497,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Achillea ptarmica f. multiplex,,,"P-O 	PUUTARHAKASVIT OSASTO",56703,500,OSASTOLLA,Perennaprojektin kasvi,"P-O 	PUUTARHAKASVIT OSASTO",,,,
Achillea sibirica,,,"T-5.1 	KOIVIKKO JA METSÃ„NRAJA",35669,502,OSASTOLLA,,"T-5.1 	KOIVIKKO JA METSÃ„NRAJA",,,,
Achimenes longiflora,,,"G-HA 	TROOPPINEN HUONE",16402,511,OSASTOLLA,,"G-HA 	TROOPPINEN HUONE",,,,
Achimenes longiflora,,,"G-HJ 	JATKOKASVATUS",16402,511,OSASTOLLA,,"G-HJ 	JATKOKASVATUS",,,,
Achimenes 'Peach Blossom',,,"G-HJ 	JATKOKASVATUS",52072,506,OSASTOLLA,,"G-HJ 	JATKOKASVATUS",,,,
Achimenes 'Peach Blossom',,,"G-HZ 	MUU PAIKKA RAKENNUKSESSA",52072,506,OSASTOLLA,,"G-HZ 	MUU PAIKKA RAKENNUKSESSA",,,,
Achimenes 'Snow Princess',,,"G-HJ 	JATKOKASVATUS",52073,507,OSASTOLLA,,"G-HJ 	JATKOKASVATUS",,,,
Achimenes 'Tarantella',,,"G-HA 	TROOPPINEN HUONE",42187,508,OSASTOLLA,,"G-HA 	TROOPPINEN HUONE",,,,
Achimenes-hybr.,,,"G-HA 	TROOPPINEN HUONE",5010,513,OSASTOLLA,,"G-HA 	TROOPPINEN HUONE",,,,
Achimenes-hybr.,,,"G-HJ 	JATKOKASVATUS",5010,513,OSASTOLLA,,"G-HJ 	JATKOKASVATUS",,,,
Acinos alpinus,,,"S-O 	SYSTEMAATTINEN OSASTO",38467,514,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Acinos alpinus,,,"S-O 	SYSTEMAATTINEN OSASTO",54871,514,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Acinos alpinus,,,"T-4.2.1 	SESLERIO SEMPERVIRETUM",55490,514,OSASTOLLA,,"T-4.2.1 	SESLERIO SEMPERVIRETUM",,,,
Acinos alpinus,,,"X-TA 	TAIMISTO",55490,514,OSASTOLLA,,"X-TA 	TAIMISTO",,,,
Acmella oleracea,,,"H-O 	HYÃ–TYKASVI OSASTO",54949,515,OSASTOLLA,,"H-O 	HYÃ–TYKASVI OSASTO",,,,
Aconitum anthora,,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",14034,521,OSASTOLLA,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",,,,
Aconitum anthora,,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",31855,521,OSASTOLLA,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",,,,
Aconitum arcuatum,,,"T-5.1 	KOIVIKKO JA METSÃ„NRAJA",33723,523,OSASTOLLA,,"T-5.1 	KOIVIKKO JA METSÃ„NRAJA",,,,
Aconitum arcuatum,,,"V-4 	PERGOLA",33723,523,OSASTOLLA,,"V-4 	PERGOLA",,,,
Aconitum artemisiifolium,,,"T-5.1 	KOIVIKKO JA METSÃ„NRAJA",33722,524,OSASTOLLA,,"T-5.1 	KOIVIKKO JA METSÃ„NRAJA",,,,
Aconitum barbatum,,,"T-5.2 	PENSASVYÃ–HYKE",16930,526,OSASTOLLA,,"T-5.2 	PENSASVYÃ–HYKE",,,,
Aconitum barbatum,,,"T-5.8 	ALPIINISET KASVIT",22916,526,OSASTOLLA,,"T-5.8 	ALPIINISET KASVIT",,,,
Aconitum barbatum,,,"V-4 	PERGOLA",22916,526,OSASTOLLA,,"V-4 	PERGOLA",,,,
Aconitum compactum,,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",55053,530,OSASTOLLA,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",,,,
Aconitum ferox,,,"T-5.3 	PURONRANNAT",46184,536,OSASTOLLA,,"T-5.3 	PURONRANNAT",,,,
Aconitum hemsleyanum,,,"V-5 	KAHVIHUONEEN SEINUSTA JA VERSTAAN ETU",22451,539,OSASTOLLA,,"V-5 	KAHVIHUONEEN SEINUSTA JA VERSTAAN ETU",,,,
Aconitum krylovii,,,"T-5.2 	PENSASVYÃ–HYKE",16966,541,OSASTOLLA,,"T-5.2 	PENSASVYÃ–HYKE",,,,
Aconitum lycoctonum subsp. lycoctonum,,,"P-O 	PUUTARHAKASVIT OSASTO",50529,554,OSASTOLLA,,"P-O 	PUUTARHAKASVIT OSASTO",,,,
Aconitum lycoctonum subsp. lycoctonum,,,"S-O 	SYSTEMAATTINEN OSASTO",15467,554,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Aconitum lycoctonum subsp. lycoctonum,,,"T-4.11 	SEMBRA-REUNA B",15463,554,OSASTOLLA,,"T-4.11 	SEMBRA-REUNA B",,,,
Aconitum lycoctonum subsp. lycoctonum,,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",15464,554,OSASTOLLA,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",,,,
Aconitum lycoctonum subsp. lycoctonum,,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",15468,554,OSASTOLLA,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",,,,
Aconitum lycoctonum subsp. lycoctonum,,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",15470,554,OSASTOLLA,,"T-4.4.1 	SUBALP./ALP. KORKEARUOHOISET NIITYT",,,,
Aconitum lycoctonum subsp. lycoctonum,,,"X-TA 	TAIMISTO",53753,554,OSASTOLLA,,"X-TA 	TAIMISTO",,,,
Aconitum lycoctonum subsp. septentrionale,,,"K-6-2 	TUORE JA KOSTEA LEHTO",120,542,OSASTOLLA,,"K-6-2 	TUORE JA KOSTEA LEHTO",,,,
Aconitum lycoctonum subsp. septentrionale,,,"K-6-2 	TUORE JA KOSTEA LEHTO",20242,542,OSASTOLLA,,"K-6-2 	TUORE JA KOSTEA LEHTO",,,,
Aconitum lycoctonum subsp. septentrionale,,,"K-9 	LEHTOKORPI",,,OSASTOLLA,alkuperÃ¤iset ja sen siemenistÃ¤ kerÃ¤tyt,"K-9 	LEHTOKORPI",,,,
Aconitum lycoctonum subsp. septentrionale,,,"K-9 	LEHTOKORPI",,,OSASTOLLA,alkuperÃ¤iseten kasvien siemenistÃ¤ kasva-,"K-9 	LEHTOKORPI",,,,
Aconitum lycoctonum subsp. septentrionale,,,"T-2.1 	TUNTURIKOIVIKOT",108,542,OSASTOLLA,,"T-2.1 	TUNTURIKOIVIKOT",,,,
Aconitum lycoctonum subsp. septentrionale,,,"T-2.1 	TUNTURIKOIVIKOT",111,542,OSASTOLLA,,"T-2.1 	TUNTURIKOIVIKOT",,,,
Aconitum lycoctonum subsp. septentrionale,,,"T-2.1 	TUNTURIKOIVIKOT",113,542,OSASTOLLA,,"T-2.1 	TUNTURIKOIVIKOT",,,,
Aconitum lycoctonum subsp. septentrionale,,,"T-2.1 	TUNTURIKOIVIKOT",115,542,OSASTOLLA,,"T-2.1 	TUNTURIKOIVIKOT",,,,
Aconitum lycoctonum subsp. septentrionale,,,"T-2.1 	TUNTURIKOIVIKOT",19854,542,OSASTOLLA,,"T-2.1 	TUNTURIKOIVIKOT",,,,
Aconitum lycoctonum subsp. septentrionale,,,"T-3.5 	KOSTEAT NIITYT",114,542,OSASTOLLA,,"T-3.5 	KOSTEAT NIITYT",,,,
